codigo,nombre,nivel,padre,elemento,tipo
1,ACTIVO DISPONIBLE Y EXIGIBLE,1,,1,ACTIVO_DISPONIBLE_EXIGIBLE
10,EFECTIVO Y EQUIVALENTES DE EFECTIVO,2,1,1,ACTIVO_DISPONIBLE_EXIGIBLE
101,Caja,3,10,1,ACTIVO_DISPONIBLE_EXIGIBLE
102,Fondos fijos,3,10,1,ACTIVO_DISPONIBLE_EXIGIBLE
103,Efectivo y cheques en tránsito,3,10,1,ACTIVO_DISPONIBLE_EXIGIBLE
1031,Efectivo en tránsito,4,103,1,ACTIVO_DISPONIBLE_EXIGIBLE
1032,Cheques en tránsito,4,103,1,ACTIVO_DISPONIBLE_EXIGIBLE
104,Cuentas corrientes en instituciones financieras,3,10,1,ACTIVO_DISPONIBLE_EXIGIBLE
1041,Cuentas corrientes operativas,4,104,1,ACTIVO_DISPONIBLE_EXIGIBLE
1042,Cuentas corrientes para fines específicos,4,104,1,ACTIVO_DISPONIBLE_EXIGIBLE
105,Otros equivalentes de efectivo,3,10,1,ACTIVO_DISPONIBLE_EXIGIBLE
1051,Otros equivalentes de efectivo,4,105,1,ACTIVO_DISPONIBLE_EXIGIBLE
106,Depósitos en instituciones financieras,3,10,1,ACTIVO_DISPONIBLE_EXIGIBLE
1061,Depósitos de ahorro,4,106,1,ACTIVO_DISPONIBLE_EXIGIBLE
1062,Depósitos a plazo,4,106,1,ACTIVO_DISPONIBLE_EXIGIBLE
107,Fondos sujetos a restricción,3,10,1,ACTIVO_DISPONIBLE_EXIGIBLE
1071,Fondos en garantía,4,107,1,ACTIVO_DISPONIBLE_EXIGIBLE
1072,Fondos retenidos por mandato de la autoridad,4,107,1,ACTIVO_DISPONIBLE_EXIGIBLE
1073,Otros fondos sujetos a restricción,4,107,1,ACTIVO_DISPONIBLE_EXIGIBLE
11,INVERSIONES FINANCIERAS,2,1,1,ACTIVO_DISPONIBLE_EXIGIBLE
111,Inversiones mantenidas para negociación,3,11,1,ACTIVO_DISPONIBLE_EXIGIBLE
1111,Valores emitidos o garantizados por el Estado,4,111,1,ACTIVO_DISPONIBLE_EXIGIBLE
11111,Costo,5,1111,1,ACTIVO_DISPONIBLE_EXIGIBLE
11112,Valor Razonable,5,1111,1,ACTIVO_DISPONIBLE_EXIGIBLE
1112,Valores emitidos por el sistema financiero,4,111,1,ACTIVO_DISPONIBLE_EXIGIBLE
11121,Costo,5,1112,1,ACTIVO_DISPONIBLE_EXIGIBLE
11122,Valor Razonable,5,1112,1,ACTIVO_DISPONIBLE_EXIGIBLE
